2021-02-28 12:54:07,b'RT @cb_renovation: Bedroom ceiling woodwork and walls completed @duluxuk \n#hertfordshire #hertford #stevenage #welwyn #welwyngardencity #ha\xe2\x80\xa6'
2021-02-28 12:53:14,b'Bedroom ceiling woodwork and walls completed @duluxuk \n#hertfordshire #hertford #stevenage #welwyn\xe2\x80\xa6 https://t.co/PY3nZZJi4u'
2021-02-28 09:30:27,b'Technology can be used to assist consumers during the decision making process. An example of this is the #Dulux Vis\xe2\x80\xa6 https://t.co/S0tuDPoyTG'
2021-02-27 11:28:48,"b'RT @RoomsReloved: An example of a stairs/Landing/hallway we did recently. Walls stripped, filled &amp; sanded followed by #Dulux Chic Shadow &amp;\xe2\x80\xa6'"
2021-02-27 10:22:02,"b'RT @RoomsReloved: An example of a stairs/Landing/hallway we did recently. Walls stripped, filled &amp; sanded followed by #Dulux Chic Shadow &amp;\xe2\x80\xa6'"
2021-02-27 10:19:23,"b'An example of a stairs/Landing/hallway we did recently. Walls stripped, filled &amp; sanded followed by #Dulux Chic Sha\xe2\x80\xa6 https://t.co/JbjbSiPOjD'"
2021-02-27 08:02:05,b'Well it\xe2\x80\x99s finally arrived my \n25th Dulux Select Decorator \nScheme anniversary \nHow time has flown by since \n27th Fe\xe2\x80\xa6 https://t.co/7YLSstVInw'
2021-02-26 22:58:50,b'RT @cb_renovation: Before and after pictures of a garage door &amp; Frame \nDoor Frame: Dulux Weather-shield oil based white  gloss \nDoor : Dulu\xe2\x80\xa6'
2021-02-26 22:58:36,b'Before and after pictures of a garage door &amp; Frame \nDoor Frame: Dulux Weather-shield oil based white  gloss \nDoor :\xe2\x80\xa6 https://t.co/t4nGGBQhRj'
2021-02-25 22:34:03,"b'@SoniaPoulton Even more curiously, the BBC were acting on confidential information leaked to them by Scotland Yard\xe2\x80\x99\xe2\x80\xa6 https://t.co/3iiUM3azve'"
2021-02-25 21:57:25,b'RT @cb_renovation: The 86 Reviews on checkatrade speak for themselves #checkatrade #dulux #decorating #decorator #hertfordshire #stevenage\xe2\x80\xa6'
2021-02-25 21:56:43,b'The 86 Reviews on checkatrade speak for themselves #checkatrade #dulux #decorating #decorator #hertfordshire\xe2\x80\xa6 https://t.co/XLHgOBKmAT'
2021-02-25 11:47:57,b'@ManojG7 My bad. I read #Dulux as something else and equally important.'
2021-02-25 11:38:51,"b'Dulux paint advertisement,Promise \xf0\x9f\x92\x99 what a innovative way to convey the trust message ! Will send Dulux paint box t\xe2\x80\xa6 https://t.co/x8Yqfc6vnM'"
